date,name,value
31-03-2020,ENTRE RÍOS,13
31-03-2020,MENDOZA,15
31-03-2020,TUCUMÁN,16
31-03-2020,NEUQUÉN,20
31-03-2020,CORRIENTES,20
31-03-2020,TIERRA DEL FUEGO,39
31-03-2020,CHACO,84
31-03-2020,CÓRDOBA,94
31-03-2020,SANTA FE,133
31-03-2020,BUENOS AIRES,270
31-03-2020,CABA,311
01-04-2020,LA RIOJA,1
01-04-2020,SAN JUAN,1
01-04-2020,SANTIAGO DEL ESTERO,2
01-04-2020,MISIONES,3
01-04-2020,JUJUY,3
01-04-2020,LA PAMPA,3
01-04-2020,CHUBUT,3
01-04-2020,SALTA,3
01-04-2020,SAN LUIS,7
01-04-2020,RÍO NEGRO,9
01-04-2020,ENTRE RÍOS,14
01-04-2020,TUCUMÁN,17
01-04-2020,SANTA CRUZ,19
01-04-2020,CORRIENTES,21
01-04-2020,NEUQUÉN,24
01-04-2020,MENDOZA,25
01-04-2020,TIERRA DEL FUEGO,39
01-04-2020,CHACO,96
01-04-2020,CÓRDOBA,100
01-04-2020,SANTA FE,144
01-04-2020,BUENOS AIRES,280
01-04-2020,CABA,321
02-04-2020,SAN JUAN,1
02-04-2020,MISIONES,3
02-04-2020,SANTIAGO DEL ESTERO,3
02-04-2020,LA PAMPA,3
02-04-2020,SALTA,3
02-04-2020,LA RIOJA,4
02-04-2020,CHUBUT,4
02-04-2020,JUJUY,5
02-04-2020,RÍO NEGRO,9
02-04-2020,SAN LUIS,9
02-04-2020,ENTRE RÍOS,16
02-04-2020,SANTA CRUZ,21
02-04-2020,TUCUMÁN,21
02-04-2020,CORRIENTES,22
02-04-2020,MENDOZA,25
02-04-2020,NEUQUÉN,28
02-04-2020,TIERRA DEL FUEGO,63
02-04-2020,CHACO,99
02-04-2020,CÓRDOBA,116
02-04-2020,SANTA FE,152
02-04-2020,BUENOS AIRES,316
02-04-2020,CABA,345
03-04-2020,SAN JUAN,1
03-04-2020,MISIONES,3
03-04-2020,SANTIAGO DEL ESTERO,3
03-04-2020,LA PAMPA,3
03-04-2020,SALTA,3
03-04-2020,LA RIOJA,4
03-04-2020,CHUBUT,4
03-04-2020,JUJUY,5
03-04-2020,RÍO NEGRO,10
03-04-2020,SAN LUIS,10
03-04-2020,ENTRE RÍOS,18
03-04-2020,SANTA CRUZ,21
03-04-2020,TUCUMÁN,21
03-04-2020,CORRIENTES,22
03-04-2020,MENDOZA,27
03-04-2020,NEUQUÉN,29
03-04-2020,TIERRA DEL FUEGO,64
03-04-2020,CHACO,107
03-04-2020,CÓRDOBA,130
03-04-2020,SANTA FE,160
03-04-2020,BUENOS AIRES,338
03-04-2020,CABA,373
04-04-2020,SAN JUAN,1
04-04-2020,MISIONES,3
04-04-2020,LA PAMPA,3
04-04-2020,SALTA,3
04-04-2020,SANTIAGO DEL ESTERO,4
04-04-2020,CHUBUT,4
04-04-2020,JUJUY,5
04-04-2020,LA RIOJA,6
04-04-2020,SAN LUIS,10
04-04-2020,RÍO NEGRO,15
04-04-2020,ENTRE RÍOS,18
04-04-2020,CORRIENTES,22
04-04-2020,SANTA CRUZ,22
04-04-2020,TUCUMÁN,22
04-04-2020,MENDOZA,27
04-04-2020,NEUQUÉN,33
04-04-2020,TIERRA DEL FUEGO,72
04-04-2020,CHACO,115
04-04-2020,CÓRDOBA,133
04-04-2020,SANTA FE,165
04-04-2020,BUENOS AIRES,364
04-04-2020,CABA,407
05-04-2020,SAN JUAN,1
05-04-2020,MISIONES,3
05-04-2020,LA PAMPA,3
05-04-2020,SALTA,3
05-04-2020,SANTIAGO DEL ESTERO,4
05-04-2020,CHUBUT,4
05-04-2020,JUJUY,5
05-04-2020,LA RIOJA,8
05-04-2020,SAN LUIS,10
